Date,Close_ZW=F,High_ZW=F,Low_ZW=F,Open_ZW=F,Volume_ZW=F,Return,Vol_5,MA_5,DATE,GPRD,GPRD_THREAT,EVENT
2000-07-17,244.0,248.0,243.75,248.0,7233,,,,2000-07-17,56.75,53.08,
2000-07-18,241.25,247.5,241.0,244.25,6523,,,,2000-07-18,31.97,31.91,
2000-07-19,245.0,246.0,239.0,241.25,7136,,,,2000-07-19,63.04,95.31,
2000-07-20,247.0,247.5,244.0,244.0,3792,,,,2000-07-20,65.57,91.6,
2000-07-21,247.25,248.5,246.5,247.0,4380,,,244.9,2000-07-21,22.83,28.47,
2000-07-24,245.5,249.5,242.5,247.25,4393,,,245.2,2000-07-24,57.74,60.01,
2000-07-25,245.5,247.0,243.0,244.75,5973,,,246.05,2000-07-25,50.43,26.21,
2000-07-26,244.25,247.5,243.0,245.5,3755,,,245.9,2000-07-26,39.0,37.07,
2000-07-27,245.75,247.75,244.25,244.25,5397,,,245.65,2000-07-27,74.02,79.14,
2000-07-28,248.5,252.0,246.0,246.0,5698,,,245.9,2000-07-28,38.83,49.68,
2000-07-31,246.0,248.25,245.25,247.75,6131,,,246.0,2000-07-31,47.8,55.03,
2000-08-01,245.0,249.75,242.5,246.25,6981,,,245.9,2000-08-01,55.65,54.44,
2000-08-02,246.5,247.25,244.5,245.0,5729,,,246.35,2000-08-02,55.11,62.71,
2000-08-03,242.25,247.5,241.75,246.25,7054,,,245.65,2000-08-03,45.49,23.64,
2000-08-04,236.5,241.5,236.5,241.5,6080,,,243.25,2000-08-04,55.8,73.26,
2000-08-07,233.5,239.75,233.0,237.0,6493,,,240.75,2000-08-07,35.53,39.4,
2000-08-08,236.5,237.0,234.0,234.5,8204,,,239.05,2000-08-08,73.07,86.8,
2000-08-09,235.5,237.5,233.5,236.0,7031,,,236.85,2000-08-09,59.21,36.28,
2000-08-10,235.75,238.0,235.0,235.5,10411,,,235.55,2000-08-10,56.88,54.05,
2000-08-11,236.75,238.0,232.5,236.0,7029,,,235.6,2000-08-11,38.31,39.21,
