Date,Close,High,Low,Open,Volume,Return,Vol_5,MA_5
,ZW=F,ZW=F,ZW=F,ZW=F,ZW=F,,,
2000-07-17,244.0,248.0,243.75,248.0,7233,,,
2000-07-18,241.25,247.5,241.0,244.25,6523,,,
2000-07-19,245.0,246.0,239.0,241.25,7136,,,
2000-07-20,247.0,247.5,244.0,244.0,3792,,,
2000-07-21,247.25,248.5,246.5,247.0,4380,,,244.9
2000-07-24,245.5,249.5,242.5,247.25,4393,,,245.2
2000-07-25,245.5,247.0,243.0,244.75,5973,,,246.05
2000-07-26,244.25,247.5,243.0,245.5,3755,,,245.9
2000-07-27,245.75,247.75,244.25,244.25,5397,,,245.65
2000-07-28,248.5,252.0,246.0,246.0,5698,,,245.9
2000-07-31,246.0,248.25,245.25,247.75,6131,,,246.0
2000-08-01,245.0,249.75,242.5,246.25,6981,,,245.9
2000-08-02,246.5,247.25,244.5,245.0,5729,,,246.35
2000-08-03,242.25,247.5,241.75,246.25,7054,,,245.65
2000-08-04,236.5,241.5,236.5,241.5,6080,,,243.25
2000-08-07,233.5,239.75,233.0,237.0,6493,,,240.75
2000-08-08,236.5,237.0,234.0,234.5,8204,,,239.05
2000-08-09,235.5,237.5,233.5,236.0,7031,,,236.85
2000-08-10,235.75,238.0,235.0,235.5,10411,,,235.55
2000-08-11,236.75,238.0,232.5,236.0,7029,,,235.6
2000-08-14,238.5,239.0,236.0,237.0,2579,,,236.6
2000-08-15,240.5,241.5,238.25,239.0,3775,,,237.4
2000-08-16,243.5,244.5,241.0,241.0,6007,,,239.0
2000-08-17,239.5,245.5,238.5,244.75,4709,,,239.75
2000-08-18,238.5,241.25,237.5,239.5,5945,,,240.1
2000-08-21,236.25,238.75,234.0,238.75,5510,,,239.65
2000-08-22,234.75,238.0,234.5,236.5,5745,,,238.5
2000-08-23,233.75,235.25,232.0,234.75,3472,,,236.55
2000-08-24,240.5,240.5,233.75,234.0,8565,,,236.75
2000-08-25,241.5,244.25,240.0,240.0,8198,,,237.35
2000-08-28,242.5,247.0,241.5,245.0,7918,,,238.6
2000-08-29,250.25,251.0,243.5,243.5,10671,,,241.7
2000-08-30,246.25,250.75,245.75,249.0,9,,,244.2
2000-08-31,251.0,251.0,248.0,248.0,11,,,246.3
2000-09-01,251.0,251.75,250.75,250.75,11,,,248.2
2000-09-05,250.25,251.0,250.75,250.75,11,,,249.75
2000-09-06,253.0,251.0,250.75,250.75,11,,,250.3
2000-09-08,249.5,251.0,250.75,250.75,11,,,250.95
2000-09-11,250.5,251.0,250.75,250.75,11,,,250.85
2000-09-12,249.25,251.0,250.75,250.75,4,,,250.5
2000-09-13,245.0,251.0,250.75,250.75,4,,,249.45
2000-09-14,242.0,251.0,250.75,250.75,100,,,247.25
2000-09-15,254.5,254.5,253.5,254.0,199,,,248.25
2000-09-18,252.25,253.5,252.0,253.5,112,,,248.6
2000-09-19,256.5,256.5,255.25,256.0,173,,,250.05
2000-09-20,248.0,249.25,248.0,248.75,384,,,250.65
2000-09-21,247.0,250.0,247.0,248.75,101,,,251.65
2000-09-22,247.5,248.25,246.75,247.25,278,,,250.25
